"","","","liverpool","nottingham","bristol","northeast","greatermanchester","sheffield","westmidlands","leeds","london"
"other","bus","2005","51959.6626","30356.2105","26584.337","68980.8755","82081.7475","46148.1399","69297.61885","61787.02115","390039.03285"
"motorway","bus","2006","9407.5465","3682.4485","16718.3505","3679.419","24720.0265","15329.1605","15667.4425","17726.4805","16935.562"
"other","bus","2006","51125.48065","30047.69425","26736.1405","65014.7563","82479.8165","45805.4341","71052.6958","64200.8428","432446.5031"
"motorway","bus","2007","9182.6335","3124.984","13551.574","3064.8685","21443.6405","13673.5935","13371.921","15796.5065","14472.761"
"other","bus","2007","48124.72075","29502.8405","25945.368","65810.76655","76477.3915","45151.814","68983.0655","61420.31295","420691.9555"
"motorway","bus","2008","8242.795","2552.1895","16604.6165","3778.115","18160.6845","9980.0125","14426.2965","17439.1525","14066.808"
"other","bus","2008","44754.5845","29109.334","26121.1885","65905.17745","72451.989","40874.525","63344.0345","59177.52665","415893.2275"
"motorway","bus","2009","7152.8685","1835.3295","16822.485","3608.39","17671.913","10603.396","12819.4935","15216.1565","12678.421"
"other","bus","2009","43840.661","29792.2855","26158.6375","65988.496","73431.6125","39976.3695","64066.698","59669.3605","421890.3235"
"motorway","bus","2010","8269.951","2994.022","15864.068","4245.096","20314.513","10713.3705","12015.5445","14874.407","11424.573"
"other","bus","2010","47161.65","31882.969","26708.51","69462.7485","80167.3955","41166.598","68814.545","61779.024","417530.8"
"motorway","bus","2011","6629.7505","2269.0225","14383.5915","3982.1865","16929.795","10189.8145","10609.3455","13843.2455","12758.94"
"other","bus","2011","46123.4075","32347.5045","26575.9055","68095.568","77331.4915","39495.1535","64328.622","60036.952","418579.7735"
"motorway","bus","2012","4635.0255","2000.3095","12618.269","3508.234","14415.675","8141.544","9652.0235","13593.6585","12673.7125"
"other","bus","2012","47799.50575","32817.16825","27334.9595","69738.91115","78341.5925","38994.3735","64402.9506","60705.7488","421967.2947"
"motorway","bus","2013","4863.0045","2862.8045","12668.2375","3338.1805","14775.2","8055.112","9999.2845","13985.43125","12591.259"
"other","bus","2013","47048.4343","32526.026","27375.146","69256.1585","77659.809","37344.683","62200.8545","60461.8266","410218.244"
"motorway","bus","2014","4938.6325","2181.313","13910.1865","3392.9305","14798.2315","7416.289","8281.12","14679.22325","12547.3495"
"other","bus","2014","45865.8051","32922.54375","28310.933","69290.5415","75753.049","37160.2047","61657.59215","60310.53775","396509.3988"
"motorway","bus","2015","4352.2965","2433.4185","12878.9885","3161.4475","12824.3845","7142.7215","7682.958","13515.731","10912.4415"
"other","bus","2015","46870.964","32325.0935","28613.445","71053.1265","77882.824","37314.0595","62312.07","60266.7925","394253.6185"
"motorway","bus","2016","4242.687","2443.9305","13064.2625","2739.252","12298.7845","6960.9515","7637.625","12223.7405","10524.5925"
"other","bus","2016","42278.388","29465.5375","26442.3885","64575.1795","68074.2155","33182.515","54380.401","54248.344","408637.794"
"motorway","bus","2017","4004.0135","2401.262","11450.853","2929.9645","12086.2815","6731.111","7883.6715","12345.2125","11758.256"
"other","bus","2017","39067.191","28295.8585","25582.704","60882.2555","58880.5225","30002.3795","48920.8405","49495.095","398215.0365"
"motorway","bus","2018","4169.5775","2420.8625","11992.4035","3137.832","12448.909","7147.1015","7846.624","12609.3995","12054.125"
"other","bus","2018","35016.1655","26828.741","23693.756","55495.987","54568.9235","27776.135","45955.544","45700.3725","391570.4305"
